 14:00:54 up 27 min,  1 user,  load average: 0,27, 0,26, 0,30
 14:02:27 up 29 min,  1 user,  load average: 0,84, 0,46, 0,37
 14:02:28 up 29 min,  1 user,  load average: 0,84, 0,46, 0,37
 14:02:29 up 29 min,  1 user,  load average: 0,84, 0,46, 0,37
 14:02:30 up 29 min,  1 user,  load average: 0,84, 0,46, 0,37
 14:02:31 up 29 min,  1 user,  load average: 0,84, 0,46, 0,37
 14:02:32 up 29 min,  1 user,  load average: 0,86, 0,47, 0,37
 14:02:33 up 29 min,  1 user,  load average: 0,86, 0,47, 0,37
 14:02:34 up 29 min,  1 user,  load average: 0,86, 0,47, 0,37
 14:02:35 up 29 min,  1 user,  load average: 0,86, 0,47, 0,37
 14:02:36 up 29 min,  1 user,  load average: 0,86, 0,47, 0,37
 14:02:37 up 29 min,  1 user,  load average: 0,79, 0,47, 0,37
 14:02:38 up 29 min,  1 user,  load average: 0,79, 0,47, 0,37
 14:02:39 up 29 min,  1 user,  load average: 0,79, 0,47, 0,37
 14:02:40 up 29 min,  1 user,  load average: 0,79, 0,47, 0,37
 14:02:41 up 29 min,  1 user,  load average: 0,79, 0,47, 0,37
 14:02:42 up 29 min,  1 user,  load average: 0,88, 0,49, 0,38
 14:02:43 up 29 min,  1 user,  load average: 0,88, 0,49, 0,38
 14:02:44 up 29 min,  1 user,  load average: 0,88, 0,49, 0,38
 14:02:45 up 29 min,  1 user,  load average: 0,88, 0,49, 0,38
 14:02:46 up 29 min,  1 user,  load average: 0,88, 0,49, 0,38
 14:02:47 up 29 min,  1 user,  load average: 0,97, 0,52, 0,39
 14:02:48 up 29 min,  1 user,  load average: 0,97, 0,52, 0,39
 14:02:49 up 29 min,  1 user,  load average: 0,97, 0,52, 0,39
 14:02:50 up 29 min,  1 user,  load average: 0,97, 0,52, 0,39
 14:02:51 up 29 min,  1 user,  load average: 0,97, 0,52, 0,39
 14:02:52 up 29 min,  1 user,  load average: 0,98, 0,53, 0,39
 14:02:53 up 29 min,  1 user,  load average: 0,98, 0,53, 0,39
 14:02:54 up 29 min,  1 user,  load average: 0,98, 0,53, 0,39
 14:02:55 up 29 min,  1 user,  load average: 0,98, 0,53, 0,39
 14:02:56 up 29 min,  1 user,  load average: 0,98, 0,53, 0,39
 14:02:57 up 29 min,  1 user,  load average: 1,06, 0,55, 0,40
 14:02:58 up 29 min,  1 user,  load average: 1,06, 0,55, 0,40
 14:02:59 up 29 min,  1 user,  load average: 1,06, 0,55, 0,40
 14:03:00 up 29 min,  1 user,  load average: 1,06, 0,55, 0,40
 14:03:01 up 29 min,  1 user,  load average: 1,06, 0,55, 0,40
 14:03:02 up 29 min,  1 user,  load average: 1,13, 0,57, 0,41
 14:03:03 up 29 min,  1 user,  load average: 1,13, 0,57, 0,41
 14:03:04 up 29 min,  1 user,  load average: 1,13, 0,57, 0,41
 14:03:05 up 29 min,  1 user,  load average: 1,13, 0,57, 0,41
 14:03:06 up 29 min,  1 user,  load average: 1,13, 0,57, 0,41
 14:03:07 up 29 min,  1 user,  load average: 1,12, 0,58, 0,41
 14:03:08 up 29 min,  1 user,  load average: 1,12, 0,58, 0,41
 14:03:09 up 29 min,  1 user,  load average: 1,12, 0,58, 0,41
 14:03:10 up 29 min,  1 user,  load average: 1,12, 0,58, 0,41
 14:03:11 up 29 min,  1 user,  load average: 1,12, 0,58, 0,41
 14:03:12 up 29 min,  1 user,  load average: 1,11, 0,59, 0,41
 14:03:13 up 29 min,  1 user,  load average: 1,11, 0,59, 0,41
 14:03:14 up 29 min,  1 user,  load average: 1,11, 0,59, 0,41
 14:03:15 up 29 min,  1 user,  load average: 1,11, 0,59, 0,41
 14:03:16 up 29 min,  1 user,  load average: 1,11, 0,59, 0,41
 14:03:17 up 29 min,  1 user,  load average: 1,42, 0,66, 0,44
 14:03:18 up 29 min,  1 user,  load average: 1,42, 0,66, 0,44
 14:03:19 up 29 min,  1 user,  load average: 1,42, 0,66, 0,44
 14:03:20 up 29 min,  1 user,  load average: 1,42, 0,66, 0,44
 14:03:21 up 30 min,  1 user,  load average: 1,42, 0,66, 0,44
 14:03:22 up 30 min,  1 user,  load average: 1,55, 0,70, 0,45
 14:03:23 up 30 min,  1 user,  load average: 1,55, 0,70, 0,45
 14:03:24 up 30 min,  1 user,  load average: 1,55, 0,70, 0,45
 14:03:25 up 30 min,  1 user,  load average: 1,55, 0,70, 0,45
 14:03:27 up 30 min,  1 user,  load average: 1,55, 0,70, 0,45
 14:03:28 up 30 min,  1 user,  load average: 1,51, 0,71, 0,46
 14:03:29 up 30 min,  1 user,  load average: 1,51, 0,71, 0,46
 14:03:30 up 30 min,  1 user,  load average: 1,51, 0,71, 0,46
 14:03:31 up 30 min,  1 user,  load average: 1,51, 0,71, 0,46
 14:03:32 up 30 min,  1 user,  load average: 1,51, 0,71, 0,46
 14:03:33 up 30 min,  1 user,  load average: 1,55, 0,73, 0,46
 14:03:34 up 30 min,  1 user,  load average: 1,55, 0,73, 0,46
 14:03:35 up 30 min,  1 user,  load average: 1,55, 0,73, 0,46
 14:03:36 up 30 min,  1 user,  load average: 1,55, 0,73, 0,46
 14:03:37 up 30 min,  1 user,  load average: 1,55, 0,73, 0,46
 14:03:38 up 30 min,  1 user,  load average: 1,50, 0,73, 0,47
 14:03:39 up 30 min,  1 user,  load average: 1,50, 0,73, 0,47
 14:03:40 up 30 min,  1 user,  load average: 1,50, 0,73, 0,47
 14:03:41 up 30 min,  1 user,  load average: 1,50, 0,73, 0,47
 14:03:42 up 30 min,  1 user,  load average: 1,50, 0,73, 0,47
 14:03:43 up 30 min,  1 user,  load average: 1,54, 0,75, 0,48
 14:03:44 up 30 min,  1 user,  load average: 1,54, 0,75, 0,48
 14:03:45 up 30 min,  1 user,  load average: 1,54, 0,75, 0,48
 14:03:46 up 30 min,  1 user,  load average: 1,54, 0,75, 0,48
 14:03:47 up 30 min,  1 user,  load average: 1,54, 0,75, 0,48
 14:03:48 up 30 min,  1 user,  load average: 1,50, 0,76, 0,48
 14:03:49 up 30 min,  1 user,  load average: 1,50, 0,76, 0,48
 14:03:50 up 30 min,  1 user,  load average: 1,50, 0,76, 0,48
 14:03:51 up 30 min,  1 user,  load average: 1,50, 0,76, 0,48
 14:03:52 up 30 min,  1 user,  load average: 1,50, 0,76, 0,48
 14:03:53 up 30 min,  1 user,  load average: 1,46, 0,76, 0,48
 14:03:54 up 30 min,  1 user,  load average: 1,46, 0,76, 0,48
 14:03:55 up 30 min,  1 user,  load average: 1,46, 0,76, 0,48
 14:03:56 up 30 min,  1 user,  load average: 1,46, 0,76, 0,48
 14:03:57 up 30 min,  1 user,  load average: 1,46, 0,76, 0,48
 14:03:58 up 30 min,  1 user,  load average: 1,58, 0,80, 0,50
 14:03:59 up 30 min,  1 user,  load average: 1,58, 0,80, 0,50
 14:04:00 up 30 min,  1 user,  load average: 1,58, 0,80, 0,50
 14:04:01 up 30 min,  1 user,  load average: 1,58, 0,80, 0,50
 14:04:02 up 30 min,  1 user,  load average: 1,58, 0,80, 0,50
 14:04:03 up 30 min,  1 user,  load average: 1,62, 0,82, 0,50
 14:04:04 up 30 min,  1 user,  load average: 1,62, 0,82, 0,50
 14:04:05 up 30 min,  1 user,  load average: 1,62, 0,82, 0,50
 14:04:06 up 30 min,  1 user,  load average: 1,62, 0,82, 0,50
 14:04:07 up 30 min,  1 user,  load average: 1,62, 0,82, 0,50
 14:04:08 up 30 min,  1 user,  load average: 1,65, 0,84, 0,51
 14:04:09 up 30 min,  1 user,  load average: 1,65, 0,84, 0,51
 14:04:10 up 30 min,  1 user,  load average: 1,65, 0,84, 0,51
 14:04:11 up 30 min,  1 user,  load average: 1,65, 0,84, 0,51
 14:04:12 up 30 min,  1 user,  load average: 1,65, 0,84, 0,51
 14:04:13 up 30 min,  1 user,  load average: 1,68, 0,86, 0,52
 14:04:14 up 30 min,  1 user,  load average: 1,68, 0,86, 0,52
 14:04:15 up 30 min,  1 user,  load average: 1,68, 0,86, 0,52
 14:04:16 up 30 min,  1 user,  load average: 1,68, 0,86, 0,52
 14:04:17 up 30 min,  1 user,  load average: 1,62, 0,86, 0,52
 14:04:18 up 30 min,  1 user,  load average: 1,62, 0,86, 0,52
 14:04:19 up 30 min,  1 user,  load average: 1,62, 0,86, 0,52
 14:04:20 up 30 min,  1 user,  load average: 1,62, 0,86, 0,52
 14:04:21 up 30 min,  1 user,  load average: 1,62, 0,86, 0,52
 14:04:22 up 31 min,  1 user,  load average: 1,65, 0,88, 0,53
 14:04:23 up 31 min,  1 user,  load average: 1,65, 0,88, 0,53
 14:04:24 up 31 min,  1 user,  load average: 1,65, 0,88, 0,53
 14:04:25 up 31 min,  1 user,  load average: 1,65, 0,88, 0,53
 14:04:26 up 31 min,  1 user,  load average: 1,65, 0,88, 0,53
 14:04:27 up 31 min,  1 user,  load average: 1,68, 0,90, 0,54
 14:04:28 up 31 min,  1 user,  load average: 1,68, 0,90, 0,54
 14:04:29 up 31 min,  1 user,  load average: 1,68, 0,90, 0,54
 14:04:30 up 31 min,  1 user,  load average: 1,68, 0,90, 0,54
 14:04:31 up 31 min,  1 user,  load average: 1,68, 0,90, 0,54
 14:04:32 up 31 min,  1 user,  load average: 1,63, 0,90, 0,54
 14:04:33 up 31 min,  1 user,  load average: 1,63, 0,90, 0,54
 14:04:34 up 31 min,  1 user,  load average: 1,63, 0,90, 0,54
 14:04:35 up 31 min,  1 user,  load average: 1,63, 0,90, 0,54
 14:04:36 up 31 min,  1 user,  load average: 1,63, 0,90, 0,54
 14:04:37 up 31 min,  1 user,  load average: 1,66, 0,92, 0,55
 14:04:38 up 31 min,  1 user,  load average: 1,66, 0,92, 0,55
 14:04:39 up 31 min,  1 user,  load average: 1,66, 0,92, 0,55
 14:04:40 up 31 min,  1 user,  load average: 1,66, 0,92, 0,55
 14:04:41 up 31 min,  1 user,  load average: 1,66, 0,92, 0,55
 14:04:42 up 31 min,  1 user,  load average: 1,76, 0,96, 0,56
 14:04:43 up 31 min,  1 user,  load average: 1,76, 0,96, 0,56
 14:04:44 up 31 min,  1 user,  load average: 1,76, 0,96, 0,56
 14:04:45 up 31 min,  1 user,  load average: 1,76, 0,96, 0,56
 14:04:46 up 31 min,  1 user,  load average: 1,76, 0,96, 0,56
 14:04:47 up 31 min,  1 user,  load average: 1,70, 0,96, 0,57
 14:04:48 up 31 min,  1 user,  load average: 1,70, 0,96, 0,57
 14:04:49 up 31 min,  1 user,  load average: 1,70, 0,96, 0,57
 14:04:50 up 31 min,  1 user,  load average: 1,70, 0,96, 0,57
 14:04:51 up 31 min,  1 user,  load average: 1,70, 0,96, 0,57
 14:04:52 up 31 min,  1 user,  load average: 1,81, 0,99, 0,58
 14:04:53 up 31 min,  1 user,  load average: 1,81, 0,99, 0,58
 14:04:54 up 31 min,  1 user,  load average: 1,81, 0,99, 0,58
 14:04:55 up 31 min,  1 user,  load average: 1,81, 0,99, 0,58
 14:04:56 up 31 min,  1 user,  load average: 1,81, 0,99, 0,58
 14:04:57 up 31 min,  1 user,  load average: 1,66, 0,97, 0,58
 14:04:58 up 31 min,  1 user,  load average: 1,66, 0,97, 0,58
 14:04:59 up 31 min,  1 user,  load average: 1,66, 0,97, 0,58
 14:05:00 up 31 min,  1 user,  load average: 1,66, 0,97, 0,58
 14:05:01 up 31 min,  1 user,  load average: 1,66, 0,97, 0,58
 14:05:02 up 31 min,  1 user,  load average: 1,61, 0,98, 0,58
 14:05:03 up 31 min,  1 user,  load average: 1,61, 0,98, 0,58
 14:05:04 up 31 min,  1 user,  load average: 1,61, 0,98, 0,58
 14:05:05 up 31 min,  1 user,  load average: 1,61, 0,98, 0,58
 14:05:06 up 31 min,  1 user,  load average: 1,61, 0,98, 0,58
 14:05:07 up 31 min,  1 user,  load average: 1,64, 0,99, 0,59
 14:05:08 up 31 min,  1 user,  load average: 1,64, 0,99, 0,59
 14:05:09 up 31 min,  1 user,  load average: 1,64, 0,99, 0,59
 14:05:10 up 31 min,  1 user,  load average: 1,64, 0,99, 0,59
 14:05:11 up 31 min,  1 user,  load average: 1,64, 0,99, 0,59
 14:05:12 up 31 min,  1 user,  load average: 1,51, 0,98, 0,58
 14:05:13 up 31 min,  1 user,  load average: 1,51, 0,98, 0,58
 14:05:14 up 31 min,  1 user,  load average: 1,51, 0,98, 0,58
 14:05:15 up 31 min,  1 user,  load average: 1,51, 0,98, 0,58
 14:05:16 up 31 min,  1 user,  load average: 1,51, 0,98, 0,58
 14:05:17 up 31 min,  1 user,  load average: 1,39, 0,96, 0,58
 14:05:18 up 31 min,  1 user,  load average: 1,39, 0,96, 0,58
 14:05:19 up 31 min,  1 user,  load average: 1,39, 0,96, 0,58
 14:05:20 up 31 min,  1 user,  load average: 1,39, 0,96, 0,58
 14:05:22 up 32 min,  1 user,  load average: 1,39, 0,96, 0,58
 14:05:23 up 32 min,  1 user,  load average: 1,36, 0,96, 0,58
 14:05:24 up 32 min,  1 user,  load average: 1,36, 0,96, 0,58
 14:05:25 up 32 min,  1 user,  load average: 1,36, 0,96, 0,58
 14:05:26 up 32 min,  1 user,  load average: 1,36, 0,96, 0,58
 14:05:27 up 32 min,  1 user,  load average: 1,36, 0,96, 0,58
 14:05:28 up 32 min,  1 user,  load average: 1,25, 0,94, 0,58
 14:05:29 up 32 min,  1 user,  load average: 1,25, 0,94, 0,58
 14:05:30 up 32 min,  1 user,  load average: 1,25, 0,94, 0,58
 14:05:31 up 32 min,  1 user,  load average: 1,25, 0,94, 0,58
 14:05:32 up 32 min,  1 user,  load average: 1,25, 0,94, 0,58
 14:05:33 up 32 min,  1 user,  load average: 1,23, 0,95, 0,58
 14:05:34 up 32 min,  1 user,  load average: 1,23, 0,95, 0,58
 14:05:35 up 32 min,  1 user,  load average: 1,23, 0,95, 0,58
 14:05:36 up 32 min,  1 user,  load average: 1,23, 0,95, 0,58
 14:05:37 up 32 min,  1 user,  load average: 1,23, 0,95, 0,58
 14:05:38 up 32 min,  1 user,  load average: 1,13, 0,93, 0,58
 14:05:39 up 32 min,  1 user,  load average: 1,13, 0,93, 0,58
 14:05:40 up 32 min,  1 user,  load average: 1,13, 0,93, 0,58
 14:05:41 up 32 min,  1 user,  load average: 1,13, 0,93, 0,58
 14:05:42 up 32 min,  1 user,  load average: 1,04, 0,91, 0,57
 14:05:43 up 32 min,  1 user,  load average: 1,04, 0,91, 0,57
 14:05:44 up 32 min,  1 user,  load average: 1,04, 0,91, 0,57
 14:05:45 up 32 min,  1 user,  load average: 1,04, 0,91, 0,57
 14:05:46 up 32 min,  1 user,  load average: 1,04, 0,91, 0,57
 14:05:47 up 32 min,  1 user,  load average: 0,95, 0,90, 0,57
 14:05:48 up 32 min,  1 user,  load average: 0,95, 0,90, 0,57
 14:05:49 up 32 min,  1 user,  load average: 0,95, 0,90, 0,57
 14:05:50 up 32 min,  1 user,  load average: 0,95, 0,90, 0,57
 14:05:51 up 32 min,  1 user,  load average: 0,95, 0,90, 0,57
 14:05:52 up 32 min,  1 user,  load average: 0,96, 0,90, 0,57
 14:05:53 up 32 min,  1 user,  load average: 0,96, 0,90, 0,57
 14:05:54 up 32 min,  1 user,  load average: 0,96, 0,90, 0,57
 14:05:55 up 32 min,  1 user,  load average: 0,96, 0,90, 0,57
 14:05:56 up 32 min,  1 user,  load average: 0,96, 0,90, 0,57
 14:05:57 up 32 min,  1 user,  load average: 1,12, 0,93, 0,59
 14:05:58 up 32 min,  1 user,  load average: 1,12, 0,93, 0,59
 14:05:59 up 32 min,  1 user,  load average: 1,12, 0,93, 0,59
 14:06:00 up 32 min,  1 user,  load average: 1,12, 0,93, 0,59
 14:06:01 up 32 min,  1 user,  load average: 1,12, 0,93, 0,59
 14:06:02 up 32 min,  1 user,  load average: 1,11, 0,94, 0,59
 14:06:03 up 32 min,  1 user,  load average: 1,11, 0,94, 0,59
 14:06:04 up 32 min,  1 user,  load average: 1,11, 0,94, 0,59
 14:06:05 up 32 min,  1 user,  load average: 1,11, 0,94, 0,59
 14:06:06 up 32 min,  1 user,  load average: 1,11, 0,94, 0,59
 14:06:07 up 32 min,  1 user,  load average: 1,18, 0,95, 0,60
 14:06:08 up 32 min,  1 user,  load average: 1,18, 0,95, 0,60
 14:06:09 up 32 min,  1 user,  load average: 1,18, 0,95, 0,60
 14:06:10 up 32 min,  1 user,  load average: 1,18, 0,95, 0,60
 14:06:11 up 32 min,  1 user,  load average: 1,18, 0,95, 0,60
 14:06:12 up 32 min,  1 user,  load average: 1,17, 0,96, 0,60
 14:06:13 up 32 min,  1 user,  load average: 1,17, 0,96, 0,60
 14:06:14 up 32 min,  1 user,  load average: 1,17, 0,96, 0,60
 14:06:15 up 32 min,  1 user,  load average: 1,17, 0,96, 0,60
 14:06:16 up 32 min,  1 user,  load average: 1,17, 0,96, 0,60
 14:06:17 up 32 min,  1 user,  load average: 1,15, 0,96, 0,60
 14:06:18 up 32 min,  1 user,  load average: 1,15, 0,96, 0,60
 14:06:19 up 32 min,  1 user,  load average: 1,15, 0,96, 0,60
 14:06:20 up 32 min,  1 user,  load average: 1,15, 0,96, 0,60
 14:06:21 up 32 min,  1 user,  load average: 1,15, 0,96, 0,60
 14:06:22 up 33 min,  1 user,  load average: 1,22, 0,97, 0,61
 14:06:23 up 33 min,  1 user,  load average: 1,22, 0,97, 0,61
 14:06:24 up 33 min,  1 user,  load average: 1,22, 0,97, 0,61
 14:06:25 up 33 min,  1 user,  load average: 1,22, 0,97, 0,61
 14:06:26 up 33 min,  1 user,  load average: 1,22, 0,97, 0,61
 14:06:27 up 33 min,  1 user,  load average: 1,20, 0,97, 0,61
 14:06:28 up 33 min,  1 user,  load average: 1,20, 0,97, 0,61
 14:06:29 up 33 min,  1 user,  load average: 1,20, 0,97, 0,61
 14:06:30 up 33 min,  1 user,  load average: 1,20, 0,97, 0,61
 14:06:31 up 33 min,  1 user,  load average: 1,20, 0,97, 0,61
 14:06:32 up 33 min,  1 user,  load average: 1,19, 0,97, 0,61
 14:06:33 up 33 min,  1 user,  load average: 1,19, 0,97, 0,61
 14:06:34 up 33 min,  1 user,  load average: 1,19, 0,97, 0,61
 14:06:35 up 33 min,  1 user,  load average: 1,19, 0,97, 0,61
 14:06:36 up 33 min,  1 user,  load average: 1,19, 0,97, 0,61
 14:06:37 up 33 min,  1 user,  load average: 1,17, 0,98, 0,62
 14:06:38 up 33 min,  1 user,  load average: 1,17, 0,98, 0,62
 14:06:39 up 33 min,  1 user,  load average: 1,17, 0,98, 0,62
 14:06:40 up 33 min,  1 user,  load average: 1,17, 0,98, 0,62
 14:06:41 up 33 min,  1 user,  load average: 1,17, 0,98, 0,62
 14:06:42 up 33 min,  1 user,  load average: 1,24, 0,99, 0,62
 14:06:43 up 33 min,  1 user,  load average: 1,24, 0,99, 0,62
 14:06:44 up 33 min,  1 user,  load average: 1,24, 0,99, 0,62
 14:06:45 up 33 min,  1 user,  load average: 1,24, 0,99, 0,62
 14:06:46 up 33 min,  1 user,  load average: 1,24, 0,99, 0,62
 14:06:47 up 33 min,  1 user,  load average: 1,46, 1,04, 0,64
 14:06:48 up 33 min,  1 user,  load average: 1,46, 1,04, 0,64
 14:06:49 up 33 min,  1 user,  load average: 1,46, 1,04, 0,64
 14:06:50 up 33 min,  1 user,  load average: 1,46, 1,04, 0,64
 14:06:51 up 33 min,  1 user,  load average: 1,46, 1,04, 0,64
 14:06:52 up 33 min,  1 user,  load average: 1,42, 1,04, 0,64
 14:06:53 up 33 min,  1 user,  load average: 1,42, 1,04, 0,64
 14:06:54 up 33 min,  1 user,  load average: 1,42, 1,04, 0,64
 14:06:55 up 33 min,  1 user,  load average: 1,42, 1,04, 0,64
 14:06:56 up 33 min,  1 user,  load average: 1,42, 1,04, 0,64
 14:06:57 up 33 min,  1 user,  load average: 1,39, 1,04, 0,65
 14:06:58 up 33 min,  1 user,  load average: 1,39, 1,04, 0,65
 14:06:59 up 33 min,  1 user,  load average: 1,39, 1,04, 0,65
 14:07:00 up 33 min,  1 user,  load average: 1,39, 1,04, 0,65
 14:07:01 up 33 min,  1 user,  load average: 1,39, 1,04, 0,65
 14:07:02 up 33 min,  1 user,  load average: 1,44, 1,06, 0,65
 14:07:03 up 33 min,  1 user,  load average: 1,44, 1,06, 0,65
 14:07:04 up 33 min,  1 user,  load average: 1,44, 1,06, 0,65
 14:07:05 up 33 min,  1 user,  load average: 1,44, 1,06, 0,65
 14:07:06 up 33 min,  1 user,  load average: 1,44, 1,06, 0,65
 14:07:07 up 33 min,  1 user,  load average: 1,56, 1,09, 0,67
 14:07:08 up 33 min,  1 user,  load average: 1,56, 1,09, 0,67
 14:07:09 up 33 min,  1 user,  load average: 1,56, 1,09, 0,67
 14:07:10 up 33 min,  1 user,  load average: 1,56, 1,09, 0,67
 14:07:11 up 33 min,  1 user,  load average: 1,56, 1,09, 0,67
 14:07:12 up 33 min,  1 user,  load average: 1,52, 1,09, 0,67
 14:07:13 up 33 min,  1 user,  load average: 1,52, 1,09, 0,67
 14:07:14 up 33 min,  1 user,  load average: 1,52, 1,09, 0,67
